Material,Quantity,Weight,Type,Size Range,Price
Sawdust,19,21,Industry,8mm to 90mm,4278
Paddy Straw,16,36,Farming Land,12mm to 70mm,3589
Groundnut,29,8,Industry,8mm to 90mm,5199
Sawdust,17,15,Industry,8mm to 90mm,3657
Cowdung,60,30,Land,8mm to 20mm,3109
Pressmud,42,30,Sugarcane Industry,12mm to 20mm,2169
Pressmud,45,25,Sugarcane Industry,12mm to 20mm,1817
Groundnut,34,16,Industry,8mm to 90mm,5404
Groundnut,28,15,Industry,8mm to 90mm,4799
Groundnut,36,19,Industry,8mm to 90mm,4745
Pressmud,44,34,Sugarcane Industry,12mm to 20mm,2252
Paddy Straw,23,39,Farming Land,12mm to 70mm,3322
Cowdung,60,36,Land,8mm to 20mm,3414
Cowdung,62,48,Land,8mm to 20mm,3179
Groundnut,23,14,Industry,8mm to 90mm,4756
Paddy Straw,26,36,Farming Land,12mm to 70mm,3043
Sawdust,28,28,Industry,8mm to 90mm,4343
Pressmud,44,25,Sugarcane Industry,12mm to 20mm,1965
Pressmud,42,29,Sugarcane Industry,12mm to 20mm,2341
Groundnut,32,17,Industry,8mm to 90mm,4576
Sawdust,13,26,Industry,8mm to 90mm,4078
Cowdung,80,45,Land,8mm to 20mm,3561
Sawdust,11,17,Industry,8mm to 90mm,3970
Groundnut,34,6,Industry,8mm to 90mm,5154
Paddy Straw,21,37,Farming Land,12mm to 70mm,3220
Pressmud,45,27,Sugarcane Industry,12mm to 20mm,2337
Groundnut,27,1,Industry,8mm to 90mm,4690
Cowdung,78,48,Land,8mm to 20mm,3412
Sawdust,17,22,Industry,8mm to 90mm,4331
Cowdung,73,49,Land,8mm to 20mm,3905
Sawdust,24,10,Industry,8mm to 90mm,4224
Sawdust,28,23,Industry,8mm to 90mm,4453
Groundnut,25,19,Industry,8mm to 90mm,5005
Groundnut,31,20,Industry,8mm to 90mm,4568
Groundnut,33,6,Industry,8mm to 90mm,4522
Paddy Straw,29,37,Farming Land,12mm to 70mm,3456
Cowdung,76,46,Land,8mm to 20mm,3994
Paddy Straw,24,32,Farming Land,12mm to 70mm,3727
Paddy Straw,15,38,Farming Land,12mm to 70mm,3797
Groundnut,23,8,Industry,8mm to 90mm,4685
Groundnut,26,19,Industry,8mm to 90mm,4998
Groundnut,27,7,Industry,8mm to 90mm,4749
Groundnut,20,19,Industry,8mm to 90mm,4795
Paddy Straw,21,32,Farming Land,12mm to 70mm,2967
Cowdung,71,47,Land,8mm to 20mm,3199
Sawdust,12,13,Industry,8mm to 90mm,3680
Cowdung,70,39,Land,8mm to 20mm,3087
Cowdung,65,30,Land,8mm to 20mm,3624
Cowdung,74,36,Land,8mm to 20mm,3194
Cowdung,66,45,Land,8mm to 20mm,3890
Paddy Straw,29,37,Farming Land,12mm to 70mm,3470
Paddy Straw,26,30,Farming Land,12mm to 70mm,2981
Cowdung,66,34,Land,8mm to 20mm,3181
Sawdust,22,17,Industry,8mm to 90mm,4342
Groundnut,33,9,Industry,8mm to 90mm,4838
Paddy Straw,29,49,Farming Land,12mm to 70mm,3480
Paddy Straw,25,42,Farming Land,12mm to 70mm,3601
Pressmud,52,27,Sugarcane Industry,12mm to 20mm,1839
Groundnut,21,0,Industry,8mm to 90mm,4594
Cowdung,60,45,Land,8mm to 20mm,3138
Paddy Straw,14,38,Farming Land,12mm to 70mm,3418
Cowdung,80,46,Land,8mm to 20mm,3437
Cowdung,78,43,Land,8mm to 20mm,3166
Sawdust,26,19,Industry,8mm to 90mm,4456
Pressmud,56,23,Sugarcane Industry,12mm to 20mm,2082
Groundnut,33,15,Industry,8mm to 90mm,5432
Pressmud,60,40,Sugarcane Industry,12mm to 20mm,1733
Cowdung,67,37,Land,8mm to 20mm,3652
Cowdung,66,44,Land,8mm to 20mm,3063
Paddy Straw,18,36,Farming Land,12mm to 70mm,3516
Groundnut,23,20,Industry,8mm to 90mm,5127
Pressmud,44,29,Sugarcane Industry,12mm to 20mm,2394
Pressmud,41,36,Sugarcane Industry,12mm to 20mm,2081
Sawdust,19,27,Industry,8mm to 90mm,4172
Sawdust,11,16,Industry,8mm to 90mm,3643
Cowdung,67,44,Land,8mm to 20mm,3802
Pressmud,44,36,Sugarcane Industry,12mm to 20mm,1753
Paddy Straw,10,38,Farming Land,12mm to 70mm,3182
Sawdust,25,16,Industry,8mm to 90mm,4453
Groundnut,28,6,Industry,8mm to 90mm,4706
Paddy Straw,29,34,Farming Land,12mm to 70mm,3397
Paddy Straw,29,46,Farming Land,12mm to 70mm,3121
Sawdust,14,27,Industry,8mm to 90mm,4016
Sawdust,24,28,Industry,8mm to 90mm,3544
Sawdust,13,21,Industry,8mm to 90mm,4180
Sawdust,12,14,Industry,8mm to 90mm,4035
Groundnut,32,13,Industry,8mm to 90mm,4617
Pressmud,41,26,Sugarcane Industry,12mm to 20mm,2161
Paddy Straw,23,33,Farming Land,12mm to 70mm,3138
Groundnut,30,17,Industry,8mm to 90mm,5284
Cowdung,71,45,Land,8mm to 20mm,3378
Paddy Straw,29,41,Farming Land,12mm to 70mm,3689
Sawdust,17,17,Industry,8mm to 90mm,4076
Groundnut,37,12,Industry,8mm to 90mm,5406
Groundnut,36,0,Industry,8mm to 90mm,4564
Cowdung,79,39,Land,8mm to 20mm,3438
Pressmud,54,37,Sugarcane Industry,12mm to 20mm,2288
Paddy Straw,13,50,Farming Land,12mm to 70mm,3510
Pressmud,43,29,Sugarcane Industry,12mm to 20mm,2381
Sawdust,20,17,Industry,8mm to 90mm,3679
Paddy Straw,29,47,Farming Land,12mm to 70mm,3185
Paddy Straw,13,30,Farming Land,12mm to 70mm,3551
Groundnut,34,11,Industry,8mm to 90mm,5348
Cowdung,70,37,Land,8mm to 20mm,3440
Paddy Straw,28,31,Farming Land,12mm to 70mm,3071
Groundnut,23,6,Industry,8mm to 90mm,4841
Pressmud,45,31,Sugarcane Industry,12mm to 20mm,1554
Cowdung,71,48,Land,8mm to 20mm,3773
Cowdung,79,47,Land,8mm to 20mm,3157
Paddy Straw,19,48,Farming Land,12mm to 70mm,3082
Sawdust,14,28,Industry,8mm to 90mm,4375
Sawdust,16,13,Industry,8mm to 90mm,3526
Cowdung,68,44,Land,8mm to 20mm,3593
Groundnut,39,10,Industry,8mm to 90mm,4643
Groundnut,40,14,Industry,8mm to 90mm,4878
Cowdung,72,31,Land,8mm to 20mm,3448
Cowdung,78,39,Land,8mm to 20mm,3099
Cowdung,60,32,Land,8mm to 20mm,3447
Paddy Straw,10,32,Farming Land,12mm to 70mm,3469
Paddy Straw,10,36,Farming Land,12mm to 70mm,3065
Sawdust,29,28,Industry,8mm to 90mm,4323
Groundnut,36,12,Industry,8mm to 90mm,4981
Groundnut,39,1,Industry,8mm to 90mm,4695
Cowdung,70,40,Land,8mm to 20mm,3012
Cowdung,69,43,Land,8mm to 20mm,3411
Paddy Straw,27,35,Farming Land,12mm to 70mm,3052
Paddy Straw,30,40,Farming Land,12mm to 70mm,3697
Paddy Straw,17,38,Farming Land,12mm to 70mm,3494
Groundnut,26,20,Industry,8mm to 90mm,4661
Sawdust,14,23,Industry,8mm to 90mm,4114
Pressmud,50,26,Sugarcane Industry,12mm to 20mm,1891
Groundnut,38,6,Industry,8mm to 90mm,4913
Paddy Straw,12,32,Farming Land,12mm to 70mm,3159
Pressmud,42,21,Sugarcane Industry,12mm to 20mm,2391
Pressmud,55,30,Sugarcane Industry,12mm to 20mm,1764
Pressmud,44,31,Sugarcane Industry,12mm to 20mm,1839
Pressmud,57,27,Sugarcane Industry,12mm to 20mm,2371
Paddy Straw,21,30,Farming Land,12mm to 70mm,3219
Paddy Straw,17,36,Farming Land,12mm to 70mm,3412
Groundnut,40,12,Industry,8mm to 90mm,5447
Cowdung,64,45,Land,8mm to 20mm,3976
Paddy Straw,23,35,Farming Land,12mm to 70mm,2965
Sawdust,20,13,Industry,8mm to 90mm,4432
Groundnut,26,19,Industry,8mm to 90mm,5494
Pressmud,56,37,Sugarcane Industry,12mm to 20mm,2347
Sawdust,29,10,Industry,8mm to 90mm,3576
Cowdung,72,43,Land,8mm to 20mm,3899
Groundnut,34,12,Industry,8mm to 90mm,5028
Paddy Straw,10,34,Farming Land,12mm to 70mm,3748
Groundnut,25,0,Industry,8mm to 90mm,5016
Paddy Straw,23,43,Farming Land,12mm to 70mm,3663
Sawdust,28,14,Industry,8mm to 90mm,3791
Groundnut,38,18,Industry,8mm to 90mm,5487
Sawdust,19,28,Industry,8mm to 90mm,4200
Pressmud,43,31,Sugarcane Industry,12mm to 20mm,2480
Groundnut,26,15,Industry,8mm to 90mm,4984
Pressmud,59,31,Sugarcane Industry,12mm to 20mm,2407
Groundnut,25,3,Industry,8mm to 90mm,4885
Paddy Straw,18,36,Farming Land,12mm to 70mm,2949
Paddy Straw,15,39,Farming Land,12mm to 70mm,3084
Cowdung,67,47,Land,8mm to 20mm,3120
Cowdung,77,33,Land,8mm to 20mm,3830
Sawdust,16,14,Industry,8mm to 90mm,3854
Paddy Straw,30,30,Farming Land,12mm to 70mm,3816
Paddy Straw,18,42,Farming Land,12mm to 70mm,2980
Cowdung,65,45,Land,8mm to 20mm,3790
Pressmud,52,25,Sugarcane Industry,12mm to 20mm,2192
Cowdung,64,40,Land,8mm to 20mm,3351
Cowdung,78,33,Land,8mm to 20mm,3366
Pressmud,60,33,Sugarcane Industry,12mm to 20mm,2379
Pressmud,47,37,Sugarcane Industry,12mm to 20mm,2076
Paddy Straw,30,32,Farming Land,12mm to 70mm,3527
Sawdust,17,22,Industry,8mm to 90mm,3536
Pressmud,43,30,Sugarcane Industry,12mm to 20mm,1563
Paddy Straw,26,34,Farming Land,12mm to 70mm,3782
Cowdung,73,34,Land,8mm to 20mm,3164
Cowdung,79,39,Land,8mm to 20mm,3944
Sawdust,26,15,Industry,8mm to 90mm,3986
Paddy Straw,21,45,Farming Land,12mm to 70mm,3520
Cowdung,68,32,Land,8mm to 20mm,3246
Pressmud,58,28,Sugarcane Industry,12mm to 20mm,2463
Paddy Straw,13,34,Farming Land,12mm to 70mm,3600
Sawdust,23,18,Industry,8mm to 90mm,4297
Sawdust,15,15,Industry,8mm to 90mm,4387
Sawdust,24,24,Industry,8mm to 90mm,3994
Sawdust,16,12,Industry,8mm to 90mm,3920
Groundnut,39,15,Industry,8mm to 90mm,5243
Pressmud,44,31,Sugarcane Industry,12mm to 20mm,1660
Groundnut,20,10,Industry,8mm to 90mm,5141
Pressmud,59,24,Sugarcane Industry,12mm to 20mm,2274
Groundnut,39,14,Industry,8mm to 90mm,4685
Pressmud,41,37,Sugarcane Industry,12mm to 20mm,1804
Pressmud,56,27,Sugarcane Industry,12mm to 20mm,2145
Groundnut,34,5,Industry,8mm to 90mm,5115
Cowdung,60,30,Land,8mm to 20mm,3747
Cowdung,68,46,Land,8mm to 20mm,3831
Paddy Straw,16,48,Farming Land,12mm to 70mm,3285
Groundnut,40,7,Industry,8mm to 90mm,4827
Pressmud,51,27,Sugarcane Industry,12mm to 20mm,1886
Sawdust,18,14,Industry,8mm to 90mm,3595
Groundnut,33,0,Industry,8mm to 90mm,5066
Sawdust,27,20,Industry,8mm to 90mm,4170
Paddy Straw,10,32,Farming Land,12mm to 70mm,3698
Sawdust,22,30,Industry,8mm to 90mm,4202
Sawdust,16,14,Industry,8mm to 90mm,3978
Pressmud,48,33,Sugarcane Industry,12mm to 20mm,1745
Sawdust,23,20,Industry,8mm to 90mm,3587
Paddy Straw,29,37,Farming Land,12mm to 70mm,3182
Cowdung,63,47,Land,8mm to 20mm,3546
Groundnut,27,12,Industry,8mm to 90mm,5140
Groundnut,31,17,Industry,8mm to 90mm,5034
Groundnut,27,12,Industry,8mm to 90mm,4510
Groundnut,27,20,Industry,8mm to 90mm,4582
Sawdust,29,13,Industry,8mm to 90mm,3852
Pressmud,44,25,Sugarcane Industry,12mm to 20mm,1535
Pressmud,56,34,Sugarcane Industry,12mm to 20mm,2271
Cowdung,72,38,Land,8mm to 20mm,3290
Cowdung,63,36,Land,8mm to 20mm,3157
Sawdust,30,13,Industry,8mm to 90mm,3652
Paddy Straw,23,45,Farming Land,12mm to 70mm,3415
Groundnut,39,9,Industry,8mm to 90mm,5021
Sawdust,30,26,Industry,8mm to 90mm,3744
Paddy Straw,24,32,Farming Land,12mm to 70mm,3037
Pressmud,56,33,Sugarcane Industry,12mm to 20mm,1688
Sawdust,14,19,Industry,8mm to 90mm,4308
Cowdung,72,34,Land,8mm to 20mm,3676
Pressmud,40,33,Sugarcane Industry,12mm to 20mm,1799
Cowdung,61,47,Land,8mm to 20mm,3489
Cowdung,79,32,Land,8mm to 20mm,3292
Groundnut,26,4,Industry,8mm to 90mm,4547
Sawdust,21,20,Industry,8mm to 90mm,4052
Cowdung,71,37,Land,8mm to 20mm,3878
Pressmud,59,39,Sugarcane Industry,12mm to 20mm,1734
Groundnut,29,1,Industry,8mm to 90mm,4813
Sawdust,10,26,Industry,8mm to 90mm,3646
Groundnut,36,4,Industry,8mm to 90mm,4947
Cowdung,73,43,Land,8mm to 20mm,3336
Sawdust,27,30,Industry,8mm to 90mm,3500
Pressmud,44,36,Sugarcane Industry,12mm to 20mm,1681
Paddy Straw,30,41,Farming Land,12mm to 70mm,2904
Sawdust,14,12,Industry,8mm to 90mm,4073
Paddy Straw,24,34,Farming Land,12mm to 70mm,3357
Groundnut,37,6,Industry,8mm to 90mm,5156
Pressmud,56,24,Sugarcane Industry,12mm to 20mm,1819
Sawdust,11,23,Industry,8mm to 90mm,3577
Pressmud,48,21,Sugarcane Industry,12mm to 20mm,1948
Pressmud,53,32,Sugarcane Industry,12mm to 20mm,2032
Groundnut,21,15,Industry,8mm to 90mm,5255
Sawdust,26,30,Industry,8mm to 90mm,3590
Paddy Straw,16,41,Farming Land,12mm to 70mm,3093
Paddy Straw,20,45,Farming Land,12mm to 70mm,3306
Pressmud,48,23,Sugarcane Industry,12mm to 20mm,2337
Cowdung,80,36,Land,8mm to 20mm,3874
Groundnut,34,11,Industry,8mm to 90mm,4860
Groundnut,24,4,Industry,8mm to 90mm,4821
Cowdung,68,36,Land,8mm to 20mm,3021
Sawdust,15,30,Industry,8mm to 90mm,3862
Pressmud,59,27,Sugarcane Industry,12mm to 20mm,2448
Paddy Straw,15,46,Farming Land,12mm to 70mm,3177
Sawdust,21,21,Industry,8mm to 90mm,3642
Cowdung,64,31,Land,8mm to 20mm,3646
Paddy Straw,19,33,Farming Land,12mm to 70mm,2939
Groundnut,22,6,Industry,8mm to 90mm,4878
Pressmud,48,26,Sugarcane Industry,12mm to 20mm,1977
Pressmud,57,40,Sugarcane Industry,12mm to 20mm,1958
Pressmud,57,31,Sugarcane Industry,12mm to 20mm,2464
Cowdung,62,34,Land,8mm to 20mm,3016
Paddy Straw,18,39,Farming Land,12mm to 70mm,3410
Paddy Straw,28,38,Farming Land,12mm to 70mm,3098
Pressmud,52,27,Sugarcane Industry,12mm to 20mm,1992
Sawdust,22,18,Industry,8mm to 90mm,3852
Sawdust,29,15,Industry,8mm to 90mm,4362
Groundnut,40,3,Industry,8mm to 90mm,5452
Sawdust,30,17,Industry,8mm to 90mm,3950
Sawdust,19,18,Industry,8mm to 90mm,4332
Pressmud,48,31,Sugarcane Industry,12mm to 20mm,2008
Cowdung,76,43,Land,8mm to 20mm,3270
Sawdust,19,25,Industry,8mm to 90mm,4196
Sawdust,30,21,Industry,8mm to 90mm,3521
Cowdung,80,35,Land,8mm to 20mm,3066
Sawdust,24,24,Industry,8mm to 90mm,4137
Cowdung,72,33,Land,8mm to 20mm,3032
Pressmud,57,35,Sugarcane Industry,12mm to 20mm,1812
Cowdung,73,39,Land,8mm to 20mm,3322
Sawdust,17,21,Industry,8mm to 90mm,3998
Paddy Straw,12,46,Farming Land,12mm to 70mm,3294
Cowdung,71,36,Land,8mm to 20mm,3613
Cowdung,76,47,Land,8mm to 20mm,3257
Paddy Straw,21,43,Farming Land,12mm to 70mm,3898
Cowdung,61,48,Land,8mm to 20mm,3412
Paddy Straw,16,32,Farming Land,12mm to 70mm,3374
Groundnut,21,7,Industry,8mm to 90mm,5409
Pressmud,56,37,Sugarcane Industry,12mm to 20mm,1773
Cowdung,67,46,Land,8mm to 20mm,3721
Paddy Straw,20,34,Farming Land,12mm to 70mm,3254
Cowdung,69,49,Land,8mm to 20mm,3012
Sawdust,10,28,Industry,8mm to 90mm,4003
Cowdung,65,42,Land,8mm to 20mm,3408
Sawdust,20,19,Industry,8mm to 90mm,3888
Paddy Straw,21,44,Farming Land,12mm to 70mm,3805
Groundnut,32,18,Industry,8mm to 90mm,4572
Sawdust,18,21,Industry,8mm to 90mm,4139
Paddy Straw,17,33,Farming Land,12mm to 70mm,3679
Sawdust,14,13,Industry,8mm to 90mm,3768
Pressmud,60,24,Sugarcane Industry,12mm to 20mm,1973
Groundnut,32,3,Industry,8mm to 90mm,4653
Groundnut,30,0,Industry,8mm to 90mm,4759
Pressmud,58,37,Sugarcane Industry,12mm to 20mm,1593
Paddy Straw,10,41,Farming Land,12mm to 70mm,3737
Groundnut,36,3,Industry,8mm to 90mm,4749
Groundnut,39,0,Industry,8mm to 90mm,4672
Cowdung,73,32,Land,8mm to 20mm,3165
Groundnut,39,8,Industry,8mm to 90mm,5112
Sawdust,16,13,Industry,8mm to 90mm,4122
Paddy Straw,23,50,Farming Land,12mm to 70mm,3430
Sawdust,27,12,Industry,8mm to 90mm,3987
Sawdust,24,15,Industry,8mm to 90mm,4344
Pressmud,45,35,Sugarcane Industry,12mm to 20mm,2136
Sawdust,26,11,Industry,8mm to 90mm,3740
Sawdust,24,30,Industry,8mm to 90mm,3698
Paddy Straw,24,41,Farming Land,12mm to 70mm,3401
Paddy Straw,17,40,Farming Land,12mm to 70mm,3243
Groundnut,20,2,Industry,8mm to 90mm,4824
Groundnut,22,20,Industry,8mm to 90mm,5133
Cowdung,78,44,Land,8mm to 20mm,3558
Pressmud,57,23,Sugarcane Industry,12mm to 20mm,1861
Sawdust,26,23,Industry,8mm to 90mm,3609
Sawdust,26,29,Industry,8mm to 90mm,3809
Sawdust,21,27,Industry,8mm to 90mm,4240
Pressmud,47,32,Sugarcane Industry,12mm to 20mm,1824
Paddy Straw,10,30,Farming Land,12mm to 70mm,3215
Cowdung,79,39,Land,8mm to 20mm,3526
Paddy Straw,19,48,Farming Land,12mm to 70mm,3672
Cowdung,60,37,Land,8mm to 20mm,3150
Paddy Straw,19,43,Farming Land,12mm to 70mm,3841
Sawdust,22,11,Industry,8mm to 90mm,4274
Paddy Straw,17,49,Farming Land,12mm to 70mm,3005
Groundnut,30,13,Industry,8mm to 90mm,5438
Paddy Straw,27,31,Farming Land,12mm to 70mm,3113
Pressmud,54,29,Sugarcane Industry,12mm to 20mm,1776
Cowdung,75,34,Land,8mm to 20mm,3076
Groundnut,21,15,Industry,8mm to 90mm,5392
Sawdust,10,30,Industry,8mm to 90mm,3901
Pressmud,58,35,Sugarcane Industry,12mm to 20mm,2472
Pressmud,43,20,Sugarcane Industry,12mm to 20mm,1865
Sawdust,23,19,Industry,8mm to 90mm,3703
Sawdust,15,27,Industry,8mm to 90mm,4271
Pressmud,59,23,Sugarcane Industry,12mm to 20mm,2337
Cowdung,68,46,Land,8mm to 20mm,3860
Groundnut,40,0,Industry,8mm to 90mm,5299
Pressmud,56,39,Sugarcane Industry,12mm to 20mm,1645
Paddy Straw,17,38,Farming Land,12mm to 70mm,3703
Sawdust,15,16,Industry,8mm to 90mm,4317
Paddy Straw,29,50,Farming Land,12mm to 70mm,3503
Sawdust,15,14,Industry,8mm to 90mm,3588
Sawdust,16,29,Industry,8mm to 90mm,4440
Cowdung,62,38,Land,8mm to 20mm,3791
Groundnut,25,16,Industry,8mm to 90mm,5100
Pressmud,51,35,Sugarcane Industry,12mm to 20mm,2131
Pressmud,59,31,Sugarcane Industry,12mm to 20mm,2342
Groundnut,20,4,Industry,8mm to 90mm,5286
Pressmud,45,26,Sugarcane Industry,12mm to 20mm,2367
Pressmud,60,23,Sugarcane Industry,12mm to 20mm,1566
Sawdust,12,20,Industry,8mm to 90mm,3947
Cowdung,74,42,Land,8mm to 20mm,3420
Pressmud,44,29,Sugarcane Industry,12mm to 20mm,1556
Pressmud,56,25,Sugarcane Industry,12mm to 20mm,1902
Pressmud,48,20,Sugarcane Industry,12mm to 20mm,2175
Sawdust,13,18,Industry,8mm to 90mm,3529
Pressmud,58,21,Sugarcane Industry,12mm to 20mm,1551
Paddy Straw,27,47,Farming Land,12mm to 70mm,2948
Groundnut,32,15,Industry,8mm to 90mm,4928
Cowdung,68,43,Land,8mm to 20mm,3209
Cowdung,76,45,Land,8mm to 20mm,3463
Pressmud,59,39,Sugarcane Industry,12mm to 20mm,1654
Sawdust,24,28,Industry,8mm to 90mm,4383
Pressmud,58,28,Sugarcane Industry,12mm to 20mm,2229
Paddy Straw,13,35,Farming Land,12mm to 70mm,3866
Sawdust,11,24,Industry,8mm to 90mm,3791
Sawdust,25,25,Industry,8mm to 90mm,4092
Cowdung,75,31,Land,8mm to 20mm,3560
Paddy Straw,12,33,Farming Land,12mm to 70mm,3553
Cowdung,60,45,Land,8mm to 20mm,3812
Pressmud,45,35,Sugarcane Industry,12mm to 20mm,2293
Paddy Straw,14,47,Farming Land,12mm to 70mm,3662
Groundnut,22,17,Industry,8mm to 90mm,5352
Cowdung,71,30,Land,8mm to 20mm,3124
Cowdung,68,39,Land,8mm to 20mm,3322
Sawdust,25,20,Industry,8mm to 90mm,4062
Sawdust,11,10,Industry,8mm to 90mm,3793
Sawdust,11,11,Industry,8mm to 90mm,4005
Pressmud,54,28,Sugarcane Industry,12mm to 20mm,2252
Pressmud,60,23,Sugarcane Industry,12mm to 20mm,2453
Groundnut,32,2,Industry,8mm to 90mm,4644
Cowdung,79,50,Land,8mm to 20mm,3523
Cowdung,69,39,Land,8mm to 20mm,3193
Paddy Straw,11,37,Farming Land,12mm to 70mm,3730
Groundnut,22,5,Industry,8mm to 90mm,5398
Paddy Straw,23,30,Farming Land,12mm to 70mm,3670
Paddy Straw,28,37,Farming Land,12mm to 70mm,3717
Cowdung,75,34,Land,8mm to 20mm,3660
Cowdung,67,42,Land,8mm to 20mm,3162
Sawdust,20,28,Industry,8mm to 90mm,4123
Groundnut,32,3,Industry,8mm to 90mm,4587
Paddy Straw,28,33,Farming Land,12mm to 70mm,2913
Groundnut,36,17,Industry,8mm to 90mm,5376
Groundnut,37,2,Industry,8mm to 90mm,5322
Paddy Straw,20,43,Farming Land,12mm to 70mm,3586
Cowdung,72,39,Land,8mm to 20mm,3640
Paddy Straw,30,36,Farming Land,12mm to 70mm,3572
Cowdung,69,32,Land,8mm to 20mm,3207
Groundnut,31,10,Industry,8mm to 90mm,5220
Cowdung,76,30,Land,8mm to 20mm,3570
Pressmud,58,38,Sugarcane Industry,12mm to 20mm,1723
Pressmud,43,22,Sugarcane Industry,12mm to 20mm,1520
Paddy Straw,28,31,Farming Land,12mm to 70mm,3728
Cowdung,72,46,Land,8mm to 20mm,3568
Cowdung,78,39,Land,8mm to 20mm,3127
Paddy Straw,30,49,Farming Land,12mm to 70mm,3510
Sawdust,12,22,Industry,8mm to 90mm,4285
Pressmud,60,30,Sugarcane Industry,12mm to 20mm,1686
Groundnut,40,20,Industry,8mm to 90mm,5384
Pressmud,40,32,Sugarcane Industry,12mm to 20mm,2314
Paddy Straw,24,41,Farming Land,12mm to 70mm,2966
Pressmud,60,22,Sugarcane Industry,12mm to 20mm,1716
Cowdung,72,36,Land,8mm to 20mm,3328
Sawdust,27,15,Industry,8mm to 90mm,3627
Cowdung,64,31,Land,8mm to 20mm,3065
Cowdung,63,37,Land,8mm to 20mm,3001
Groundnut,22,13,Industry,8mm to 90mm,4919
Pressmud,41,37,Sugarcane Industry,12mm to 20mm,1880
Groundnut,38,1,Industry,8mm to 90mm,4536
Cowdung,75,44,Land,8mm to 20mm,3613
Pressmud,43,24,Sugarcane Industry,12mm to 20mm,2438
Cowdung,77,46,Land,8mm to 20mm,3596
Paddy Straw,24,32,Farming Land,12mm to 70mm,3293
Paddy Straw,14,49,Farming Land,12mm to 70mm,3811
Cowdung,71,38,Land,8mm to 20mm,3875
Sawdust,22,12,Industry,8mm to 90mm,3522
Pressmud,43,32,Sugarcane Industry,12mm to 20mm,2096
Paddy Straw,18,33,Farming Land,12mm to 70mm,3636
Paddy Straw,21,50,Farming Land,12mm to 70mm,3208
Cowdung,61,45,Land,8mm to 20mm,3332
Cowdung,71,37,Land,8mm to 20mm,3377
Pressmud,41,33,Sugarcane Industry,12mm to 20mm,2446
Paddy Straw,13,50,Farming Land,12mm to 70mm,3693
Paddy Straw,18,30,Farming Land,12mm to 70mm,3466
Pressmud,57,39,Sugarcane Industry,12mm to 20mm,2035
Paddy Straw,30,35,Farming Land,12mm to 70mm,2919
Sawdust,18,28,Industry,8mm to 90mm,3638
Cowdung,74,48,Land,8mm to 20mm,3491
Sawdust,19,19,Industry,8mm to 90mm,4370
Sawdust,29,19,Industry,8mm to 90mm,4366
Groundnut,26,7,Industry,8mm to 90mm,4518
Cowdung,62,43,Land,8mm to 20mm,3041
Pressmud,60,27,Sugarcane Industry,12mm to 20mm,1952
Cowdung,73,40,Land,8mm to 20mm,3593
Paddy Straw,22,31,Farming Land,12mm to 70mm,3094
Groundnut,24,4,Industry,8mm to 90mm,4913
Sawdust,14,21,Industry,8mm to 90mm,3572
Groundnut,33,15,Industry,8mm to 90mm,4657
Cowdung,80,43,Land,8mm to 20mm,3042
Sawdust,22,25,Industry,8mm to 90mm,4426
Sawdust,17,17,Industry,8mm to 90mm,3884
Cowdung,71,40,Land,8mm to 20mm,3064
Pressmud,46,27,Sugarcane Industry,12mm to 20mm,1893
Groundnut,37,1,Industry,8mm to 90mm,4767
Cowdung,69,42,Land,8mm to 20mm,3016
Pressmud,52,37,Sugarcane Industry,12mm to 20mm,2313
Groundnut,26,12,Industry,8mm to 90mm,4901
Groundnut,25,9,Industry,8mm to 90mm,5468
Groundnut,24,13,Industry,8mm to 90mm,4650
Groundnut,28,9,Industry,8mm to 90mm,5245
Cowdung,75,37,Land,8mm to 20mm,3221
Cowdung,73,31,Land,8mm to 20mm,3157
Cowdung,68,49,Land,8mm to 20mm,3819
Paddy Straw,26,40,Farming Land,12mm to 70mm,3525
Groundnut,36,12,Industry,8mm to 90mm,5396
Cowdung,73,46,Land,8mm to 20mm,3635
Sawdust,19,17,Industry,8mm to 90mm,3845
Paddy Straw,27,40,Farming Land,12mm to 70mm,3141
Paddy Straw,21,44,Farming Land,12mm to 70mm,3023
Paddy Straw,21,49,Farming Land,12mm to 70mm,3389
Pressmud,47,21,Sugarcane Industry,12mm to 20mm,2318
Paddy Straw,27,48,Farming Land,12mm to 70mm,3143
Paddy Straw,25,42,Farming Land,12mm to 70mm,3543
Paddy Straw,18,33,Farming Land,12mm to 70mm,3396
Sawdust,11,19,Industry,8mm to 90mm,4465
Pressmud,53,29,Sugarcane Industry,12mm to 20mm,2480
Groundnut,26,12,Industry,8mm to 90mm,4548
Sawdust,19,19,Industry,8mm to 90mm,3676
Groundnut,34,5,Industry,8mm to 90mm,4760
Groundnut,23,15,Industry,8mm to 90mm,5000
Sawdust,15,27,Industry,8mm to 90mm,4118
Sawdust,14,11,Industry,8mm to 90mm,4086
Pressmud,52,32,Sugarcane Industry,12mm to 20mm,2075
Groundnut,37,16,Industry,8mm to 90mm,5147
Sawdust,26,22,Industry,8mm to 90mm,4466
Groundnut,33,0,Industry,8mm to 90mm,4563
Paddy Straw,22,46,Farming Land,12mm to 70mm,3364
Pressmud,50,24,Sugarcane Industry,12mm to 20mm,1594
Sawdust,19,26,Industry,8mm to 90mm,4258
Sawdust,19,14,Industry,8mm to 90mm,4015
Pressmud,51,22,Sugarcane Industry,12mm to 20mm,1881
